date,Python,Java,C++,JavaScript,Data Science,Machine Learning,Artificial Intelligence,Web Development
2023-10-22,34,31,73,11,55,58,40,26
2023-10-29,41,38,84,11,65,80,47,28
2023-11-05,36,34,72,11,56,77,44,24
2023-11-12,29,29,68,9,53,63,42,22
2023-11-19,39,37,82,11,66,83,55,26
2023-11-26,39,36,83,12,70,91,56,28
2023-12-03,40,38,86,12,69,88,58,27
2023-12-10,41,40,90,13,75,94,66,30
2023-12-17,39,35,81,13,63,81,52,28
2023-12-24,29,29,76,10,60,69,47,28
2023-12-31,36,34,83,12,68,71,52,31
2024-01-07,41,39,81,13,75,83,60,30
2024-01-14,39,36,76,13,68,71,55,29
2024-01-21,40,36,77,12,68,77,54,29
2024-01-28,49,44,82,15,78,100,58,33
2024-02-04,49,47,87,15,79,87,56,32
2024-02-11,48,45,80,15,72,89,57,31
2024-02-18,48,43,80,15,71,91,63,30
2024-02-25,47,43,83,15,72,92,58,32
2024-03-03,43,44,79,13,69,85,52,30
2024-03-10,45,44,80,14,79,87,63,32
2024-03-17,44,43,81,15,83,92,63,30
2024-03-24,38,35,68,12,72,78,48,26
2024-03-31,42,39,74,13,75,90,52,28
2024-04-07,35,34,73,11,64,77,47,28
2024-04-14,36,38,73,12,71,89,50,26
2024-04-21,38,38,71,12,75,92,51,25
2024-04-28,36,35,72,11,78,91,47,26
2024-05-05,36,38,75,12,90,90,61,27
2024-05-12,34,32,66,11,92,81,49,27
2024-05-19,35,34,72,11,92,92,56,28
2024-05-26,36,35,75,11,97,89,54,30
2024-06-02,33,33,66,10,83,67,45,26
2024-06-09,36,36,71,11,95,84,52,29
2024-06-16,36,37,72,11,89,82,53,30
2024-06-23,37,36,74,11,88,78,55,29
2024-06-30,38,39,76,11,85,78,51,31
2024-07-07,40,40,78,12,82,79,51,31
2024-07-14,41,41,77,12,78,76,52,31
2024-07-21,42,39,76,11,80,85,51,30
2024-07-28,42,39,79,11,80,72,58,29
2024-08-04,43,42,80,12,79,85,57,29
2024-08-11,36,38,79,10,71,72,46,27
2024-08-18,40,39,79,11,72,82,48,27
2024-08-25,41,38,82,11,68,75,49,29
2024-09-01,41,38,97,11,68,74,46,27
2024-09-08,41,39,100,11,70,76,53,27
2024-09-15,41,42,91,10,62,75,55,27
2024-09-22,40,39,97,10,66,86,52,27
2024-09-29,37,35,87,9,60,68,49,25
2024-10-06,34,32,78,8,57,64,42,22
2024-10-13,37,35,81,10,64,77,45,24
2024-10-20,42,38,90,10,66,83,53,26
